Text Chunk,Question,Answer
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

29. 分部信息

本公司以内部组织结构、管理要求、内部报告制度为依据确定经营分部，以经营分部为基础确定报告分部

并披露分部信息。

经营分部是指本公司内同时满足下列条件的组成部分：(1)该组成部分能够在日常活动中产生收入、发生 费用；(2)本公司管理层能够定期评价该组成部分的经营成果，以决定向其配置资源、评价其业绩；(3)本 公司能够取得该组成部分的财务状况、经营成果和现金流量等有关会计信息。两个或多个经营分部具有相

似的经济特征，并且满足一定条件的，则可合并为一个经营分部。

30.",确定经营分部需要满足哪些条件？,确定经营分部需要满足三个条件：(1)该组成部分能够在日常活动中产生收入、发生费用；(2)本公司管理层能够定期评价该组成部分的经营成果，以决定向其配置资源、评价其业绩；(3)本公司能够取得该组成部分的财务状况、经营成果和现金流量等有关会计信息。
"多个经营分部具有相

似的经济特征，并且满足一定条件的，则可合并为一个经营分部。

30. 或有负债

或有负债指过去的交易或者事项形成的潜在义务，其存在须通过未来不确定事项的发生或不发生予以证

实；或过去的交易或者事项形成的现时义务，履行该义务不是很可能导致经济利益流出或该义务的金额不

能可靠计量。

31.",多个经营分部在什么条件下可以合并为一个经营分部？,当多个经营分部具有相似的经济特征，并且满足一定条件时，可以合并为一个经营分部。
"的现时义务，履行该义务不是很可能导致经济利益流出或该义务的金额不

能可靠计量。

31. 预计负债

如果与或有事项相关的义务同时符合以下条件，本公司将其确认为预计负债。企业合并中的或有对价及承

担的或有负债除外：

(i)

该义务是本公司承担的现时义务；

(ii)

该义务的履行很可能导致经济利益流出本公司；

(iii)

该义务的金额能够可靠地计量。

预计负债按照履行相关现时义务所需支出的最佳估计数进行初始计量，并综合考虑与或有事项有关的风

险、不确定性和货币时间价值等因素。货币时间价值影响重大的，通过对相关未来现金流出进行折现后确

定最佳估计数。每个资产负债表日对预计负债",根据文本，在什么条件下本公司会将与或有事项相关的义务确认为预计负债？（企业合并中的或有对价及承担的或有负债除外）,同时符合以下三个条件时确认为预计负债：(i) 该义务是本公司承担的现时义务；(ii) 该义务的履行很可能导致经济利益流出本公司；(iii) 该义务的金额能够可靠地计量。
"期信用损失，对于该部分的 损失准备的计量详见附注二、9(iv)及附注七、1.2。

32. 交易日会计

所有按照常规方式进行的金融资产的买卖均在交易日确认，即本公司有义务购买或出售资产的日期确认交

易。按常规方式买卖金融资产指买卖的金融资产的交付需在按照市场规则或惯例确定的时限内进行。

33. 股利

资产负债表日后，宣告及经批准的拟分配发放的股利，不确认为资产负债表日的负债，作为资产负债表日

后事项在附注中披露。应付股利于批准发放股利当期确认为负债。

161

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会",金融资产的买卖在什么日期确认？,在交易日确认，即本公司有义务购买或出售资产的日期。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

34. 债务重组

债务重组，是指在债务人发生财务困难的情况下，债权人按照其与债务人达成的协议或者法院的裁定作出

让步的事项。

作为债权人，以现金清偿债务的，将重组债权的账面余额与收到的现金之间的差额计入当期损益。以非现

金资产清偿债务的，将重组债权的账面余额与受让的非现金资产的公允价值之间的差额，计入当期损益。

将债务转为资本的，将重组债权的账面余额与享有债务人股份的公允价值之间的差额，计入当期损益。修

改其他债务条件的，将重组债权的账面余额与修改其他债务条件后债权的公允价值之间的差额，计入当期

",根据文本，当债权人通过将债务转为资本的方式进行债务重组时，如何计算当期损益？,将重组债权的账面余额与享有债务人股份的公允价值之间的差额，计入当期损益。
"重组债权已计提减值准备的，将上述差额冲减减值准备，不足以冲减的部分计入当期损益。

35. 重大会计判断和会计估计

编制财务报表要求管理层作出判断和估计，这些判断和估计会影响收入、费用、资产和负债的报告金额以

及资产负债表日或有负债的披露。然而，这些估计的不确定性所导致的结果可能造成对未来受影响的资产

或负债的账面金额进行重大调整。

(i)

金融资产的分类

本公司在确定金融资产的分类时涉及的重大判断包括业务模式及合同现金流量特征的分析等。

本公司在金融资产组合的层次上确定管理金融资产的业务模式，考虑的因素包括评价和向关键管理人员报

告金融资产业绩的方式、影响金融资产业绩的风险及",重组债权已计提减值准备的，将上述差额冲减减值准备后，不足以冲减的部分应如何处理？,计入当期损益。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

35. 重大会计判断和会计估计(续)

(ii)

预期信用损失的计量

本公司对以摊余成本计量和以公允价值计量且其变动计入其他综合收益的金融资产，以及信用承诺使用预 期信用损失模型计量其减值准备；其中涉及关键定义、参数和假设的建立和定期复核，例如对未来的宏观 经济情况和借款人的信用行为的估计(例如，客户违约的可能性及相应损失)。对预期信用损失的计量存在 许多重大管理层判断和假设，例如：



• • •

将具有类似信用风险特征的业务划入同一个组合，选择恰当的计量模型，并确定计量相关的关键参 数； 信用风险显",根据文本，预期信用损失的计量涉及哪些重大管理层判断和假设？,对预期信用损失的计量存在许多重大管理层判断和假设，例如：将具有类似信用风险特征的业务划入同一个组合，选择恰当的计量模型，并确定计量相关的关键参数；以及对未来的宏观经济情况和借款人的信用行为（例如，客户违约的可能性及相应损失）进行估计。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

35. 重大会计判断和会计估计(续)

(v)

金融工具的公允价值

对于不存在活跃市场的金融工具，本公司采用估值技术确定其公允价值。估值技术包括：使用熟悉情况的

交易各方自愿进行的近期公平市场交易(若可获得)，参照本质相同的其他金融工具的现行公允价值，折现 现金流量分析和期权定价模型。在可行的情况下，估值技术尽可能使用市场参数。然而，当缺乏市场参数

时，管理层需就自身和交易对手的信贷风险、市场波动率、相关性等方面作出估计。这些相关假设的变化

会对金融工具的公允价值产生影响。

(vi) 商誉减值

本",对于不存在活跃市场的金融工具，本公司采用哪些估值技术来确定其公允价值？,采用的估值技术包括：使用熟悉情况的交易各方自愿进行的近期公平市场交易(若可获得)，参照本质相同的其他金融工具的现行公允价值，折现现金流量分析和期权定价模型。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

36. 重要会计政策变更的影响

财政部于 2018 年颁布了修订后的《企业会计准则第 21 号——租赁》(以下简称“新租赁准则”)，并于 2019 年颁布了修订后的《企业会计准则第 7 号——非货币性资产交换》(以下简称“非货币性资产交换准 则”)和《企业会计准则第 12 号——债务重组》(以下简称“债务重组准则”)，本公司已采用上述准则编 制 2019 年度财务报表。修订后的非货币性资产交换准则及债务重组准则对本公司无显著影响，其他修订 对本公司报表的影响列示如下：

根据新租赁准则的相关规定，本公司对于首",根据2019年财务报表，财政部颁布的修订后的《企业会计准则第21号——租赁》、《企业会计准则第7号——非货币性资产交换》和《企业会计准则第12号——债务重组》中，哪些准则对本公司无显著影响？,修订后的《企业会计准则第7号——非货币性资产交换》和《企业会计准则第12号——债务重组》对本公司无显著影响。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

37. 税项

本公司适用的主要税项及有关税率列示如下：

税种

计税依据

税率

中国企业所得税(注)

增值税 城市建设维护税

应纳税所得额

应纳税增值额 缴纳的增值税税额

25% 3%、5%、6%、9%、10%、 13%、16% 5%、7%

注：根据《关于设备器具扣除有关企业所得税政策的通知》(财税[2018]54 号)，企业在 2018 年 1 月 1 日 至 2020 年 12 月 31 日期间新购进的除房屋、建筑物以外的固定资产，单位价值不超过 500 万元的，允许 一次性计入当期成本费",根据文本，中国企业所得税的税率是多少？,25%。
"本费用在计算应纳税所得额时扣除，不再分年度计算折旧。

三、 财务报表主要项目附注

1. 现金及存放中央银行款项

2019年12月31日

2018年12月31日

库存现金 存放中央银行法定准备金-人民币 存放中央银行法定准备金-外币 存放中央银行超额存款准备金 存放中央银行的其他款项-财政性存款 小计 加：应计利息 合计

5,459 206,579 5,883 31,211 3,003 252,135 95 252,230

5,015 222,974 6,455 41,899 2,070 278,413

115 278,528

本公司按中国人民银行规定的存款范围，向中国人民银行",在计算应纳税所得额时，本费用如何处理？,本费用在计算应纳税所得额时扣除，不再分年度计算折旧。
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

2. 存放同业款项

按同业所在地区和类型分析

2019年12月31日

2018年12月31日

境内银行同业 境内其他金融机构 境外银行同业 境外其他金融机构 小计 加：应计利息 减：减值准备(见附注三、18)

71,603 5,033 9,172



85,808 745 (869)

72,688 2,703 8,975 1 84,367 1,094 (363)

合计

85,684

85,098

3.",根据2019年12月31日的数据，存放同业款项中，境内银行同业的金额是多少？,"71,603 百万元。"
" 1 84,367 1,094 (363)

合计

85,684

85,098

3. 拆出资金

按交易对手所在地区和类型分析

2019年12月31日

2018年12月31日

以摊余成本计量的拆出资金

境内银行同业 境内其他金融机构 境外银行同业

加：应计利息 减：减值准备(见附注三、18) 小计

29,260 13,522 30,008 72,790 206 (180) 72,816

50,890 1,222 17,022 69,134 216 (172) 69,178

以公允价值计量且其变动计入其他综合收益的拆出资金

境内其他金融机构 加：应计利息 小计

6,51",2019年12月31日，以摊余成本计量的拆出资金中，境内银行同业、境内其他金融机构和境外银行同业的具体金额分别是多少？,"境内银行同业为29,260，境内其他金融机构为13,522，境外银行同业为30,008。"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

4. 衍生金融工具

本公司于资产负债表日所持有的衍生金融工具如下：

按剩余到期日分析的名义金额

3 个月内 3 个月到 1 年 1 年到 5 年

5 年以上

合计

公允价值 资产

负债

2019 年 12 月 31 日 外汇衍生工具：

外币远期、外币掉期 及外币期权合约

209,314

248,233

38,676



496,223

4,412

(3,249)

利率衍生工具：

利率互换及其他利率类 类衍生工具 贵金属衍生工具

1,153,891 60,072

2,047",根据2019年12月31日的数据，外汇衍生工具（包括外币远期、外币掉期及外币期权合约）按剩余到期日分析，在“3个月到1年”期限内的名义金额是多少？,"248,233百万元。"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

5. 买入返售金融资产

(a)

按交易方类别分析

银行同业 其他金融机构

加：应计利息 减：减值准备(见附注三、18) 合计

(b)

按担保物类别分析

债券 票据

加：应计利息 减：减值准备(见附注三、18) 合计

169

2019年12月31日

38,165 24,054 62,219 49 (52) 62,216

2019年12月31日

62,219



62,219 49 (52) 62,216

2018年12月31日

10,370 26,566 36,936 51 (2",2019年12月31日，该公司的买入返售金融资产总额是多少（人民币百万元）？,"62,216"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

6. 发放贷款和垫款

6.1 按企业和个人分布情况分析

2019年12月31日

2018年12月31日

以摊余成本计量的贷款和垫款 企业贷款和垫款：

贷款

809,499

781,829

个人贷款和垫款：

房屋按揭及持证抵押贷款 新一贷 汽车金融贷款 信用卡应收账款 其他

小计

411,066 157,364 179,224 540,434 69,133 1,357,221

310,793 153,745 172,029 473,295 44,151 1,154,013

以摊余成本计",2019年12月31日，以摊余成本计量的企业贷款和垫款金额是多少？,"809,499百万元人民币。"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

6. 发放贷款和垫款(续)

6.2 按行业分析

农牧业、渔业 采掘业(重工业) 制造业(轻工业) 能源业 交通运输、邮电 商业 房地产业 社会服务、科技、文化、卫生业 建筑业 贴现 个人贷款 其他 贷款和垫款总额 加：应计利息 减：贷款减值准备(见附注三、6.6)

贷款和垫款账面价值

6.3 按担保方式分布情况分析

信用贷款 保证贷款 附担保物贷款 其中：抵押贷款 质押贷款

小计 贴现 贷款和垫款总额 加：应计利息 减：贷款减值准备(见附注三、6.6)

贷款和垫款账面价值

171

2019年",根据文本，贷款和垫款总额在计算账面价值时，除了减去贷款减值准备，还需要进行什么调整？,在计算贷款和垫款账面价值时，除了减去贷款减值准备，还需要加上应计利息。
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

6. 发放贷款和垫款(续)

6.4 按担保方式分类的逾期贷款分析(不含应计利息)

逾期1天至90天 (含90天)

逾期90天至 1年(含1年)

2019年12月31日 逾期1年至 3年(含3年)

逾期3年 以上

信用贷款 保证贷款 附担保物贷款 其中：抵押贷款 质押贷款

11,105 2,338 7,217 4,319 2,898

9,165 1,266 9,109 5,694 3,415

958 3,257 7,060 4,366 2,694

37 278 259 131 128

合计",根据2019年12月31日按担保方式分类的逾期贷款（不含应计利息）表格，逾期1年至3年（含3年）的保证贷款金额是多少？,"3,257 百万元"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

6. 发放贷款和垫款(续)

6.5 按地区分布情况分析

2019年12月31日

2018年12月31日

东区 南区 西区 北区 总行 境外 贷款和垫款总额 加：应计利息 减：贷款减值准备(见附注三、6.6)

452,166 434,909 213,246 338,676 883,511 697 2,323,205 5,704 (69,560)

588,078 349,964 184,593 298,178 576,716 - 1,997,529 6,261 (54,033)

贷款和垫款账面价值
",根据财务报表附注，2019年12月31日，贷款和垫款总额最高的地区是哪个？,总行。
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

6. 发放贷款和垫款(续)

6.6 贷款减值准备变动

2019 年度

2018 年度

以摊余成本计量的贷款和垫款 2018 年 12 月 31 日和 2017 年 12 月 31 日

余额

首次执行修订后的金融工具会计准则的影响 2019 年 1 月 1 日和 2018 年 1 月 1 日余额 本年计提 本年核销及出售(注) 本年收回原核销贷款和垫款导致的转回 贷款和垫款因折现价值上升导致减少 本年其他变动

54,033 - 54,033 52,989 (47,681) 11,110 (481)",根据文本，2019年度以摊余成本计量的贷款和垫款的贷款减值准备，其本年计提的金额是多少？,"52,989（百万元人民币）"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

7. 交易性金融资产

2019年12月31日

2018年12月31日

债券

政府 政策性银行 同业和其他金融机构 企业

基金 资产管理计划及资产管理计划收益权 信托计划及信托收益权 购买他行理财产品 资产证券化资产支持证券 权益投资 其他

30,192 32,505 45,209 23,988 60,949 7,217 3,028 1,525 1,286 472 311

19,835 14,027 37,365 6,537 45,567 11,746 5,810 5,159 1,708 666 ",截至2019年12月31日，该公司债券类交易性金融资产中，来自企业的金额是多少？,"23,988百万元人民币。"
"投资的债券质押于国库定期存款(2018 年 12 月 31 日：100 百万元)。

8. 债权投资

2019年12月31日

2018年12月31日

债券

政府 政策性银行 同业和其他金融机构 企业

资产管理计划及资产管理计划收益权 信托计划及信托收益权 资产证券化资产支持证券 小计

421,236 53,050 56,384 27,887 66,449 31,224 881 657,111

335,577 62,913 53,255 25,594 110,520 38,771 2,317 628,947

加：应计利息 减：减值准备(见附注三、18)

8,092 (8,913",截至2019年12月31日，该机构持有的债券投资总额（小计）是多少百万元？,"657,111 百万元。"
"度 (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

9. 其他债权投资

2019 年 12 月 31 日

2018 年 12 月 31 日

债券

政府 政策性银行 同业和其他金融机构 企业

资产证券化资产支持证券 资产管理计划及资产管理计划收益权 信托计划及信托收益权 小计

10,821 25,794 26,627 15,582 15,701 27,517 58,200 180,242

1,583 14,145 8,876 6,388 4,288 9,610 25,089 69,979

加：应计利息

2,022

685

合计

182,2",根据文本，截至2019年12月31日，其他债权投资项下“债券”类别的总额是多少？,"截至2019年12月31日，其他债权投资项下“债券”类别的总额为182,242百万元（即182.242亿元）。"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

10. 其他权益工具投资

上市股权 非上市股权

合计

上市股权 非上市股权

合计

上市股权 非上市股权

合计

成本

4 1,905

1,909

成本

1,577

1,577

177

2019年12月31日

2018年12月31日

14 1,830

8 1,511

1,844

1,519

2019 年 12 月 31 日

公允价值

累计计入 其他综合收益的 公允价值变动金额

14 1,830

10

(75)

1,844

(65)

2018 年 12 月 31",根据文本，截至2019年12月31日，其他权益工具投资中上市股权的公允价值是多少？,14百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

11. 投资性房地产

2019年12月31日

2018年12月31日

原值： 年初余额 转至固定资产 固定资产转入 年末余额

312 (38) 128 402

329 (37) 20 312

累计折旧： 年初余额 计提 转至固定资产 固定资产转入 年末余额

118

11 (10) 36 155

120 9 (13) 2 118

账面价值 年末数 年初数

247 194

194 209

于2019年12月31日，本公司有账面价值为人民币6百万元(2018年12月31日：人民币3百万元)的",根据财务报表附注，2019年12月31日投资性房地产的账面价值是多少？,根据财务报表附注，于2019年12月31日，投资性房地产的账面价值为人民币247百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

12. 固定资产

2019年度

房屋及建筑物

原值： 年初余额 增加 投资性房地产转入 转至投资性房地产 在建工程转入 减少 年末余额

10,857

100 38 (128) 68 (48) 10,887

累计折旧： 年初余额 增加 投资性房地产转入 转至投资性房地产 减少 年末余额

2,739

499 10 (36) (27) 3,185

减值准备： 年初余额 年末余额(见附注三、18)

2 2

账面价值 2019年12月31日 2018年12月31日

7,700 8,116

179",2019年度，房屋及建筑物固定资产的账面价值是多少？,"2019年12月31日，房屋及建筑物固定资产的账面价值为人民币7,700百万元。"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

12. 固定资产(续)

2018年度

房屋及建筑物

运输工具

办公设备及 电子设备

合计

原值： 年初余额 增加 投资性房地产转入 转至投资性房地产 在建工程转入 减少 年末余额

8,452 24 37 (20) 2,389 (25) 10,857

98 5 - - - (11) 92

5,262 1,555 - - 1 (280) 6,538

13,812 1,584 37 (20) 2,390 (316) 17,487

累计折旧： 年初余额 增加 投资性房地产转入 转至投资性房地产 减",根据财务报表附注，2018年度固定资产中“办公设备及电子设备”的原值年末余额是多少？,"6,538 百万元"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

13. 租赁合同

(a)

于资产负债表中确认

2019 年度

使用权资产原值：

年初余额 本年增加 本年减少 年末余额

使用权资产累计折旧： 年初余额 本年增加 本年减少 年末余额

减值准备： 年初余额 年末余额

使用权资产账面价值 2019 年 12 月 31 日 2019 年 1 月 1 日

租赁负债

(b)

于2019年12月31日，本公司已签订但尚未开始执行的租赁合同相关的租赁付款额为53百万元。

181

房屋及建筑物

7,396 2,380 - 9,776

2,259 -",根据财务报表附注，2019年12月31日，公司已签订但尚未开始执行的租赁合同相关的租赁付款额是多少？,53百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

14. 无形资产

2019年度

核心存款(注)

软件

其他

成本/评估值 年初余额 本年购入 开发支出转入 本年减少 年末余额

5,757 - - - 5,757

4,088

220 681 (9) 4,980

7 1 - -

8

摊销 年初余额 本年摊销 本年减少 年末余额

2,159

288 - 2,447

2,916 1,018 (4) 3,930

6 1 - 7

账面价值 2019 年 12 月 31 日 2018 年 12 月 31 日

3,310 3,598

1,",根据提供的无形资产附注，2019年12月31日“软件”这一项的账面价值是多少？,"1,050 百万元。"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

15. 商誉

2019年度

年初数

本年增加

本年减少

年末数

减值准备

原平安银行

7,568





7,568

2018年度

年初数

本年增加

本年减少

年末数

减值准备

原平安银行

7,568





7,568

本公司于 2011 年 7 月收购原平安银行，形成商誉人民币 7,568 百万元。企业合并取得的商誉分摊至东区、 南区、西区、北区、信用卡资产组以进行减值测试，即比较各资产组的可收回金额和账面价值。这些资产 组与购买日及以前年度商誉减值测试时所确定的资产组",2019年末，原平安银行商誉的账面价值是多少？,"人民币7,568百万元。"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

16. 递延所得税资产

本公司互抵前的递延所得税资产和负债及对应的暂时性差异列示如下：

2019年12月31日 可抵扣/ (应纳税) 暂时性差异

递延 所得税 资产/(负债)

递延所得税资产 资产减值准备 工资薪金 交易性金融资产和负债、衍生金融工具

137,240 5,296

34,310 1,324

及贵金属公允价值变动

其他

2,352 400

588 100

小计

145,288

36,322

递延所得税负债 吸收合并原平安银行产生的公允价值

评估增值

(3,516)

",根据文本，2019年12月31日，由资产减值准备产生的可抵扣暂时性差异金额是多少？,"137,240百万元"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

16. 递延所得税资产(续)

2019年度

2018 年 12 月 31 日

递延所得税资产 资产减值准备 工资薪金 交易性金融资产和负债、衍 生金融工具及贵金属 公允价值变动

其他

29,641 1,146

58

小计

30,845

递延所得税负债 吸收合并原平安银行产生 的公允价值评估增值 交易性金融资产和负债、衍 生金融工具及贵金属 公允价值变动 以公允价值计量且其变动 计入其他综合收益的金 融资产公允价值变动

(949)

(34)

其他

(125) (269)

小计

(1,",2019年度财务报表附注中，2018年12月31日的递延所得税资产小计是多少百万元？,"30,845"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

16. 递延所得税资产(续)

2018年度

2017 年 12 月 31 日

金融工具会 计准则修订 的影响

2018 年 1 月 1 日

在其他综合 收益确认 (附注三、44) (附注三、45)

在损益确认

递延所得税资产 资产减值准备 工资薪金 交易性金融资产和负债、衍 生金融工具及贵金属 公允价值变动 以公允价值计量且其变动 计入其他综合收益的金 融资产公允价值变动 可供出售金融资产公允价

24,462 889

544



1,379 25,841 889



265

809

4",根据财务报表附注，2018年1月1日递延所得税资产中，因资产减值准备产生的金额是多少（单位：人民币百万元）？,889
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

17. 其他资产

(a)

按性质分析

预付账款及押金(见附注三、17b) 暂付诉讼费(见附注三、17c) 应收手续费 抵债资产(见附注三、17d) 在建工程(见附注三、17e) 长期待摊费用(见附注三、17f) 应收清算款 开发支出 应收利息 其他(见附注三、17g) 其他资产合计

减：减值准备 暂付诉讼费(见附注三、17c) 抵债资产(见附注三、17d) 其他(见附注三、17g) 减值准备合计

其他资产净值

(b)

预付账款及押金按账龄分析

账龄1年以内 账龄1至2年 账龄2至3年 账龄3年以",在财务报表的“其他资产”项目中，哪些具体资产科目被计提了减值准备？,暂付诉讼费、抵债资产和其他资产被计提了减值准备。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

17. 其他资产(续)

(c)

暂付诉讼费

账面余额

金额

账龄1年以内

376

账龄1至2年

325

账龄2至3年

258

账龄3年以上

218

合计

1,177

账面余额

金额

账龄1年以内

476

账龄1至2年

319

账龄2至3年

140

账龄3年以上

129

合计

1,064

2019年12月31日

比例

31.95%

27.61%

21.92%

18.52%

100.00%

2018年12月31日

比例

44.74%

29.9",2019年12月31日，账龄在2至3年的暂付诉讼费账面余额是多少？,258百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

17. 其他资产(续)

(d)

抵债资产

2019年12月31日

2018年12月31日

土地、房屋及建筑物 其他 合计 减：抵债资产减值准备(见附注三、18)

4,879 16 4,895 (925)

4,574 49 4,623 (256)

抵债资产净值

3,970

4,367

本年度，本公司取得以物抵债的担保物账面价值共计人民币1,730百万元(2018年度：人民币586百万元)， 主要为房产。本年度，本公司处置抵债资产共计人民币1,458百万元(2018年度：人民币1,203百万元",根据财务报表附注，2019年12月31日抵债资产的净值是多少？,"3,970百万元。"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

17. 其他资产(续)

(f)

长期待摊费用

年初余额 本年增加 在建工程转入 本年摊销 本年其他减少

年末余额

(g)

其他

账面余额 金额

账龄1年以内 账龄1至2年 账龄2至3年 账龄3年以上

1,381 186 394 179

合计

2,140

账面余额 金额

账龄1年以内 账龄1至2年 账龄2至3年 账龄3年以上

720 406 45 151

合计

1,322

2019年12月31日

2018年12月31日

1,094

337 769 (597) (87)

1",在2019年12月31日，财务报表附注中“其他资产”项下，账龄在2至3年的其他资产账面余额是多少？,394
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

18. 资产减值准备

附注三

存放同业款项减值准备

2

以摊余成本计量的拆出资金减值准备

3

以公允价值计量且其变动计入其他综

合收益的拆出资金减值准备

买入返售金融资产减值准备

5

以摊余成本计量的发放贷款和垫款减

值准备

6.6

以公允价值计量且其变动计入其他综

合收益的发放贷款和垫款减值准备

6.6

债权投资减值准备

8

其他债权投资减值准备

9

固定资产减值准备

12

抵债资产减值准备

17d

其他减值准备

合计

2018 年

12 月 31 日

",根据文本，2018年12月31日以摊余成本计量的发放贷款和垫款减值准备是多少？,6.6百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

18. 资产减值准备(续)

附注三

存放同业款项减值准备

2

以摊余成本计量的拆出资金减值准备

3

以公允价值计量且其变动计入其他综

合收益的拆出资金减值准备

买入返售金融资产减值准备

5

以摊余成本计量的发放贷款和垫款减

值准备

6.6

以公允价值计量且其变动计入其他综

合收益的发放贷款和垫款减值准备

6.6

债权投资减值准备

8

其他债权投资减值准备

9

固定资产减值准备

12

抵债资产减值准备

17d

其他减值准备

合计

2018 年

1 月 1 日
",根据文本中的表格，2018年1月1日，以摊余成本计量的发放贷款和垫款减值准备的金额是多少？,6.6 百万元。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

19. 向中央银行借款

中期借贷便利 向央行卖出回购债券 向央行卖出回购票据

加：应计利息

合计

20. 同业及其他金融机构存放款项

境内银行同业 境内其他金融机构 境外银行同业

加：应计利息

合计

21.",本财务报表附注中，“向中央银行借款”项目下包含哪三个具体子项？,中期借贷便利、向央行卖出回购债券、向央行卖出回购票据。
"存放款项

境内银行同业 境内其他金融机构 境外银行同业

加：应计利息

合计

21. 拆入资金

境内银行同业 境外银行同业 境外其他金融机构

加：应计利息

合计

193

2019年12月31日

105,800



5,611

1,920

113,331

2019年12月31日

142,919 223,804 360

1,608

368,691

2019年12月31日

8,920 16,946 3

202

26,071

2018年12月31日

132,000 11,240 4,281

2,235

149,756

2018年12月31日

76,9",根据文本，截至2019年12月31日，拆入资金中“境内银行同业”的金额是多少？,"142,919"
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

22. 卖出回购金融资产款

2019年12月31日

2018年12月31日

(a) 按抵押品分析

债券 加：应计利息

40,093 6

7,982 6

合计

40,099

7,988

(b) 按交易方分析 银行同业 其他金融机构 加：应计利息

39,995 98 6

7,982 - 6

合计

40,099

7,988

在卖出回购交易中，作为抵押品而转移的金融资产未终止确认。

23.",截至2019年12月31日，该公司卖出回购金融资产款中，以债券作为抵押品的金额是多少（不含应计利息）？,"40,093百万元。"
"099

7,988

在卖出回购交易中，作为抵押品而转移的金融资产未终止确认。

23. 吸收存款

2019年12月31日

2018年12月31日

活期存款

公司客户 个人客户

小计

595,317 199,949 795,266

533,502 173,357 706,859

定期存款(注) 公司客户 个人客户

小计

1,032,226 362,613 1,394,839

903,563 263,181 1,166,744

保证金存款 财政性存款 国库定期存款 应解及汇出汇款

185,259 29,422 16,716 15,433

175,098 38,481",在卖出回购交易中，作为抵押品而转移的金融资产是否终止确认？,未终止确认。
" (除特别注明外，金额单位均为人民币百万元)

三、 财务报表主要项目附注(续)

24. 应付职工薪酬

应付短期薪酬(a) 应付设定提存计划及设定受益计划(b) 应付辞退福利(c)

(a)

短期薪酬

2019年度

2019年1月1日

工资、奖金、津贴和补贴

11,389

其中：应付递延奖金

572

社会保险、补充养老保险及

职工福利

669

住房公积金



工会经费及培训费

101

其他



合计

12,159

2019年12月31日

2018年12月31日

14,130

12,159

87

77

1

2

14,218

12,238

",根据财务报表附注，2019年12月31日应付短期薪酬中的“工资、奖金、津贴和补贴”总额是多少？,"14,130（百万元）"
